pergunta,resposta,intent
Como remarcar minha consulta?,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
Quero mudar a data da minha consulta.,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
Posso reagendar pelo aplicativo?,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
Preciso trocar o dia do meu exame,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
como faz pra mudar a data?,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
perdi a data posso remarcar,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
arrumei um emprego e nao posso ir nesse horario,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
"meu filho ficou doente, posso mudar o dia?","A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
tem como adiantar a consulta?,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
quanto tempo demora pra conseguir outra data?,"A remarcação de consultas no HC varia de acordo com o instituto e a especialidade. Em alguns casos, pode ser feita pelo aplicativo Portal do Paciente HC, desde que solicitada com antecedência mínima (por exemplo, 2 dias) e sem faltas recentes. Em outros, é necessário comparecer pessoalmente ao setor de registro ou entrar em contato com o balcão de agendamento. Sempre que possível, avise ou cancele com antecedência para não perder a vaga.",agendamento_remarcar
